ProductID,ProductName,ProductDescription,UnitPrice,StockQuantity,CategoryID,CountryOfOrigin,ProductImageURL
1,"Philips 15.6"" Dizüstü Bilgisayar","Philips 15.6"" Dizüstü Bilgisayar Fiyat/performans açısından avantajlıdır.",102013.67,380,1,Güney Kore,/images/products/elektronik_1.jpg
2,"Dell 16"" Dizüstü Bilgisayar","Dell 16"" Dizüstü Bilgisayar Garanti kapsamında sunulmaktadır.",108507.02,290,1,İtalya,/images/products/elektronik_2.jpg
3,Dell Bluetooth Kulaklık,Dell Bluetooth Kulaklık Kullanıcılar tarafından beğenilen bir üründür.,118869.42,121,1,Almanya,/images/products/elektronik_3.jpg
4,"Huawei 55"" OLED Televizyon","Huawei 55"" OLED Televizyon Uzun ömürlü kullanım sağlar.",101010.61,451,1,Amerika Birleşik Devletleri,/images/products/elektronik_4.jpg
5,Vestel A55 Akıllı Telefon,Vestel A55 Akıllı Telefon Sessiz ve verimli çalışır.,80359.0,108,1,Amerika Birleşik Devletleri,/images/products/elektronik_5.jpg
6,Samsung S24 Akıllı Telefon,Samsung S24 Akıllı Telefon Yüksek performans ve dayanıklılık sunar.,28656.95,457,1,Fransa,/images/products/elektronik_6.jpg
7,Apple Bluetooth Kulaklık,Apple Bluetooth Kulaklık Kaliteli malzeme yapısına sahiptir.,101456.6,305,1,Çin,/images/products/elektronik_7.jpg
8,Dell Akıllı Saat,Dell Akıllı Saat Garanti kapsamında sunulmaktadır.,88802.2,146,1,Çin,/images/products/elektronik_8.jpg
9,Sony 13 Akıllı Telefon,Sony 13 Akıllı Telefon Günlük kullanım için idealdir.,90808.36,326,1,Almanya,/images/products/elektronik_9.jpg
10,Asus Bluetooth Kulaklık,Asus Bluetooth Kulaklık Garanti kapsamında sunulmaktadır.,826.6,158,1,Japonya,/images/products/elektronik_10.jpg
11,"Philips 15.6"" Dizüstü Bilgisayar","Philips 15.6"" Dizüstü Bilgisayar Kaliteli malzeme yapısına sahiptir.",11226.83,181,1,Türkiye,/images/products/elektronik_11.jpg
12,Dell Akıllı Saat,Dell Akıllı Saat Modern tasarımıyla öne çıkar.,53631.13,229,1,Güney Kore,/images/products/elektronik_12.jpg
13,"Vestel 75"" OLED Televizyon","Vestel 75"" OLED Televizyon Sessiz ve verimli çalışır.",16677.3,466,1,Güney Kore,/images/products/elektronik_13.jpg
14,Philips Akıllı Saat,Philips Akıllı Saat Yüksek performans ve dayanıklılık sunar.,81182.91,400,1,İtalya,/images/products/elektronik_14.jpg
15,"Vestel 15.6"" Dizüstü Bilgisayar","Vestel 15.6"" Dizüstü Bilgisayar Garanti kapsamında sunulmaktadır.",119750.13,30,1,İngiltere,/images/products/elektronik_15.jpg
16,Vestel Bluetooth Kulaklık,Vestel Bluetooth Kulaklık Garanti kapsamında sunulmaktadır.,117139.35,303,1,Japonya,/images/products/elektronik_16.jpg
17,Dell Akıllı Saat,Dell Akıllı Saat Kolay temizlenebilir yüzeye sahiptir.,101376.62,248,1,Almanya,/images/products/elektronik_17.jpg
18,"Asus 15.6"" Dizüstü Bilgisayar","Asus 15.6"" Dizüstü Bilgisayar Fiyat/performans açısından avantajlıdır.",105360.74,273,1,İtalya,/images/products/elektronik_18.jpg
19,"Xiaomi 16"" Dizüstü Bilgisayar","Xiaomi 16"" Dizüstü Bilgisayar Günlük kullanım için idealdir.",100336.72,130,1,İngiltere,/images/products/elektronik_19.jpg
20,"Philips 75"" OLED Televizyon","Philips 75"" OLED Televizyon Günlük kullanım için idealdir.",115600.39,497,1,Güney Kore,/images/products/elektronik_20.jpg
21,"Sony 16"" Dizüstü Bilgisayar","Sony 16"" Dizüstü Bilgisayar Günlük kullanım için idealdir.",39690.45,259,1,Türkiye,/images/products/elektronik_21.jpg
22,"HP 16"" Dizüstü Bilgisayar","HP 16"" Dizüstü Bilgisayar Kullanıcılar tarafından beğenilen bir üründür.",38948.65,86,1,İtalya,/images/products/elektronik_22.jpg
23,"Dell 14"" Dizüstü Bilgisayar","Dell 14"" Dizüstü Bilgisayar Kaliteli malzeme yapısına sahiptir.",81570.98,123,1,Hollanda,/images/products/elektronik_23.jpg
24,"Asus 13"" Dizüstü Bilgisayar","Asus 13"" Dizüstü Bilgisayar Kaliteli malzeme yapısına sahiptir.",59329.65,193,1,Hollanda,/images/products/elektronik_24.jpg
25,Philips Note 12 Akıllı Telefon,Philips Note 12 Akıllı Telefon Kaliteli malzeme yapısına sahiptir.,70667.04,380,1,Japonya,/images/products/elektronik_25.jpg
26,Huawei Bluetooth Kulaklık,Huawei Bluetooth Kulaklık Kullanıcılar tarafından beğenilen bir üründür.,53136.38,365,1,Almanya,/images/products/elektronik_26.jpg
27,LG Akıllı Saat,LG Akıllı Saat Garanti kapsamında sunulmaktadır.,74636.71,18,1,Fransa,/images/products/elektronik_27.jpg
28,Apple Bluetooth Kulaklık,Apple Bluetooth Kulaklık Modern tasarımıyla öne çıkar.,107532.74,480,1,Fransa,/images/products/elektronik_28.jpg
